item_id,item,stem,suffix,stem_freq,whole_word_freq,lsa_score,condition,word_status,cor_response
170,comstroudness,NA,ness,NA,NA,NA,non-word,non-word,no
170,apshissive,NA,ive,NA,NA,NA,non-word,non-word,no
170,balver,NA,er,NA,NA,NA,non-word,non-word,no
170,constristive,NA,ive,NA,NA,NA,non-word,non-word,no
170,sousable,NA,able,NA,NA,NA,non-word,non-word,no
80,punishment,punish,ment,493,685,0.449861,low_lsa_high_freq,word,yes
170,rugeness,NA,ness,NA,NA,NA,non-word,non-word,no
170,detmaration,NA,ation,NA,NA,NA,non-word,non-word,no
170,pliver,NA,er,NA,NA,NA,non-word,non-word,no
170,entunchment,NA,ment,NA,NA,NA,non-word,non-word,no
170,interteeder,NA,er,NA,NA,NA,non-word,non-word,no
170,recoger,NA,er,NA,NA,NA,non-word,non-word,no
92,builder,build,er,2452,48,0.577098,low_lsa_low_freq,word,yes
170,haptness,NA,ness,NA,NA,NA,non-word,non-word,no
150,drowsiness,drowsy,ness,37,5,0.41696,low_lsa_low_freq,word,yes
170,ravative,NA,ive,NA,NA,NA,non-word,non-word,no
170,arortment,NA,ment,NA,NA,NA,non-word,non-word,no
170,fucinity,NA,ity,NA,NA,NA,non-word,non-word,no
114,brutality,brutal,ity,375,112,0.453196,low_lsa_high_freq,word,yes
115,beautiful,beauty,ful,2460,14266,0.487556,low_lsa_high_freq,word,yes
3,contender,contend,er,48,49,0.86413,high_lsa_low_freq,word,yes
170,cortasser,NA,er,NA,NA,NA,non-word,non-word,no
170,enpramation,NA,ation,NA,NA,NA,non-word,non-word,no
9,masterful,master,ful,4450,20,0.735689,high_lsa_low_freq,word,yes
118,resentment,resent,ment,293,76,0.670687,high_lsa_high_freq,word,yes
170,setactive,NA,ive,NA,NA,NA,non-word,non-word,no
19,crateful,crate,ful,209,1,0.847473,high_lsa_low_freq,word,yes
170,arcouncement,NA,ment,NA,NA,NA,non-word,non-word,no
82,retirement,retire,ment,499,431,0.346045,low_lsa_high_freq,word,yes
170,renitzer,NA,er,NA,NA,NA,non-word,non-word,no
40,mindful,mind,ful,24715,25,0.830062,high_lsa_low_freq,word,yes
133,consciousness,conscious,ness,347,413,0.475864,low_lsa_high_freq,word,yes
170,glailful,NA,ful,NA,NA,NA,non-word,non-word,no
16,competitive,compete,ive,432,214,0.506276,low_lsa_high_freq,word,yes
95,repulsive,repulse,ive,13,103,0.823082,high_lsa_high_freq,word,yes
170,estrexer,NA,er,NA,NA,NA,non-word,non-word,no
170,oapiness,NA,ness,NA,NA,NA,non-word,non-word,no
